NAME OF HOSPITAL	LOCATION
Huai Phueng Hospital	Kalasin
Kalasin Hospital	Kalasin
Kamalasai Hospital	Kalasin
Kham Muang Hospital	Kalasin
Khao Wong Hospital	Kalasin
Kuchinarai Crown Prince Hospital	Kalasin
Na Mon Hospital	Kalasin
Nong Kung Si Hospital	Kalasin
Rong Kham Hospital	Kalasin
Sahatsakhan Hospital	Kalasin
Somdet Hospital	Kalasin
Tha Khantho Hospital	Kalasin
Yang Talat Hospital	Kalasin
Bueng Samakkhi Hospital	Kamphaeng Phet
Kamphaeng Phet Hospital	Kamphaeng Phet
Khanu Woralaksaburi Hospital	Kamphaeng Phet
Khlong Khlung Hospital	Kamphaeng Phet
Khlong Lan Hospital	Kamphaeng Phet
Lan Krabue Hospital	Kamphaeng Phet
Pang Sila Thong Hospital	Kamphaeng Phet
Phran Kratai Hospital	Kamphaeng Phet
Sai Ngam Hospital	Kamphaeng Phet
Sai Thong Watthana Hospital	Kamphaeng Phet
Thung Pho Thale Hospital	Kamphaeng Phet
Bo Phloi Hospital	Kanchanaburi
Chao Khun Phaibun Phanom Thuan Hospital	Kanchanaburi
Dan Makham Tia Hospital	Kanchanaburi
Fort Surasi Hospital	Kanchanaburi
Huai Krachao Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday	Kanchanaburi
Lao Khwan Hospital	Kanchanaburi
Makarak Hospital	Kanchanaburi
Phahon Phon Phayuha Sena Hospital	Kanchanaburi
Sai Yok Hospital	Kanchanaburi
Sangkhla Buri Hospital	Kanchanaburi
Sathan Phra Barami Hospital	Kanchanaburi
Somdet Phra Piya Maharat Hospital	Kanchanaburi
Suk Siri Si Sawat Hospital	Kanchanaburi
Tha Kradan Hospital	Kanchanaburi
Tha Muang Hospital	Kanchanaburi
Thong Pha Phum Hospital	Kanchanaburi
Ban Fang Hospital	Khon Kaen
Ban Phai Hospital	Khon Kaen
Chonnabot Hospital	Khon Kaen
Chum Phae Hospital	Khon Kaen
Fort Siphatcharin Hospital	Khon Kaen
Health Promotion Hospital, 6th Regional Health Promotion Center	Khon Kaen
Khao Suan Kwang Hospital	Khon Kaen
Khon Kaen Drug Dependence Treatment Center	Khon Kaen
Khon Kaen Hospital	Khon Kaen
Khon Kaen Rajanakarindra Psychiatric Hospital	Khon Kaen
Kranuan Crown Prince Hospital	Khon Kaen
Mancha Khiri Hospital	Khon Kaen
Nam Phong Hospital	Khon Kaen
Nong Ruea Hospital	Khon Kaen
Nong Song Hong Hospital	Khon Kaen
Phon Hospital	Khon Kaen
Phra Yuen Hospital	Khon Kaen
Phu Pha Man Hospital	Khon Kaen
Phu Wiang Hospital	Khon Kaen
Poei Noi Hospital	Khon Kaen
Queen Sirikit Heart Center of the Northeast	Khon Kaen
Sam Sung Hospital	Khon Kaen
Si Chomphu Hospital	Khon Kaen
Sirindhorn Hospital	Khon Kaen
Srinagarind Hospital	Khon Kaen
Ubolratana Hospital	Khon Kaen
Waeng Noi Hospital	Khon Kaen
Waeng Yai Hospital	Khon Kaen
Ao Luek Hospital	Krabi
Khao Phanom Hospital	Krabi
Khlong Thom Hospital	Krabi
Ko Lanta Hospital	Krabi
Krabi Hospital	Krabi
Lam Thap Hospital	Krabi
Nuea Khlong Hospital	Krabi
Plai Phraya Hospital	Krabi
Chae Hom Hospital	Lampang
Fort Surasakmontri Hospital	Lampang
Hang Chat Hospital	Lampang
Ko Kha Hospital	Lampang
Lampang Cancer Center	Lampang
Lampang Hospital	Lampang
Mae Mo Hospital	Lampang
Mae Phrik Hospital	Lampang
Mae Tha Hospital	Lampang
Mueang Pan Hospital	Lampang
Ngao Hospital	Lampang
Soem Ngam Hospital	Lampang
Sop Prap Hospital	Lampang
Thoen Hospital	Lampang
Wang Nuea Hospital	Lampang
Ban Hong Hospital	Lamphun
Ban Thi Hospital	Lamphun
Lamphun Hospital	Lamphun
Li Hospital	Lamphun
Mae Tha Hospital	Lamphun
Pa Sang Hospital	Lamphun
Thung Hua Chang Hospital	Lamphun
Chiang Khan Hospital	Loei
Dan Sai Crown Prince Hospital	Loei
Erawan Hospital	Loei
Fort Srisongrak Hospital	Loei
Loei Hospital	Loei
Loei Rajanakarindra Psychiatric Hospital	Loei
Na Duang Hospital	Loei
Na Haeo Hospital	Loei
Pak Chom Hospital	Loei
Pha Khao Hospital	Loei
Phu Kradueng Hospital	Loei
Phu Luang Hospital	Loei
Phu Ruea Hospital	Loei
Tha Li Hospital	Loei
Wang Saphung Hospital	Loei
Anandamahidol Hospital	Lopburi
Ban Mi Hospital	Lopburi
Chai Badan Hospital	Lopburi
Khok Charoen Hospital	Lopburi
Khok Samrong Hospital	Lopburi
Lam Sonthi Hospital	Lopburi
Lopburi Cancer Center	Lopburi
Lopburi Hospital	Lopburi
Nong Muang Hospital	Lopburi
Phatthana Nikhom Hospital	Lopburi
Royal Thai Air Force Wing 2 Hospital	Lopburi
Sa Bot Hospital	Lopburi
Tha Luang Hospital	Lopburi
Tha Wung Hospital	Lopburi
Khun Yuam Hospital	Mae Hong Son
Mae Hong Son Drug Dependence Treatment Center	Mae Hong Son
Mae La Noi Hospital	Mae Hong Son
Mae Sariang Hospital	Mae Hong Son
Pai Hospital	Mae Hong Son
Pang Mapha Hospital	Mae Hong Son
Sop Moei Hospital	Mae Hong Son
